Iteration,Loss,Accuracy
1,158.70630192756653,0.3016
2,152.5932594537735,0.3958
3,142.41599116325378,0.4444
4,130.65969116687774,0.5053
5,119.82372641563416,0.5453
6,103.45049529075622,0.6719
7,86.4729441523552,0.7372
8,74.87950168848037,0.7685
9,65.88165060281753,0.7863
10,58.75102387666702,0.8006
