Iteration,Loss,Accuracy
1,158.57762808799743,0.2778
2,151.70443580150604,0.4246
3,141.9048832654953,0.5765
4,124.89783456325532,0.6653
5,106.44096329212189,0.7077
6,91.10613074302674,0.7507
7,73.02823816537857,0.8017
8,60.864245533943176,0.8112
9,52.50255209207535,0.8256
10,45.944550710916516,0.8434
