Iteration,Loss,Accuracy
1,156.60747332572936,0.4538
2,147.03088309764863,0.5406
3,133.84047045707703,0.6008
4,115.74163053035736,0.695
5,96.80357539653778,0.7563
6,79.01592310667039,0.8016
7,65.11044332981109,0.8217
8,55.76685101985932,0.8375
9,48.1850889146328,0.8557
10,43.86305366158486,0.8563
