Iteration,Loss,Accuracy
1,159.09393539428712,0.2227
2,149.0746601819992,0.4803
3,131.88972446918487,0.5867
4,109.23719856739044,0.702
5,80.94808678627014,0.7869
6,65.1571197271347,0.8158
7,51.4077572107315,0.832
8,45.33167387843132,0.8462
9,40.04988646507263,0.8564
10,37.11526520252228,0.8709
