Iteration,Loss,Accuracy
1,159.6981388092041,0.4406
2,146.51578910350798,0.5811
3,124.11436882019044,0.6608
4,98.39501842260361,0.6846
5,78.69058343172074,0.7702
6,61.32624235153198,0.7832
7,52.83283606171608,0.8292
8,45.50204649567604,0.8417
9,40.38224934339523,0.8566
10,36.93338560163975,0.865
