Iteration,Loss,Accuracy
1,159.48198189735413,0.2816
2,151.8959945678711,0.5808
3,132.66148161888123,0.6966
4,102.1226165652275,0.7283
5,80.85117738246917,0.7538
6,63.27634719014168,0.793
7,52.51283714175224,0.8272
8,45.34791167378425,0.8265
9,41.521072772145274,0.8483
10,37.835526487231256,0.8632
