Iteration,Loss,Accuracy
1,157.79887008666992,0.3173
2,144.95416815280913,0.5417
3,127.88654193878173,0.678
4,96.23415141105652,0.7462
5,72.27027904987335,0.7631
6,57.44282693862915,0.8114
7,48.356630104780194,0.8356
8,41.79006234407425,0.8448
9,38.44741805493832,0.8575
10,35.85043231248856,0.8644
