Iteration,Loss,Accuracy
1,158.68666458129883,0.3029
2,148.58977632522584,0.5705
3,128.51117453575134,0.6234
4,103.63894156217575,0.6895
5,80.26365220546722,0.7489
6,61.695852398872375,0.7678
7,53.291965460777284,0.8052
8,46.539152854681014,0.8253
9,43.28935968875885,0.8416
10,39.62053958773613,0.8559
