Iteration,Loss,Accuracy
1,158.55774598121644,0.2699
2,152.04644536972046,0.3936
3,143.67524075508118,0.5576
4,129.4592413663864,0.6521
5,113.71988971233368,0.6875
6,100.73840839862824,0.7162
7,83.75666259527206,0.777
8,69.52886077165604,0.7929
9,59.79445659518242,0.8204
10,51.522075933218005,0.8352
